ledger_id,date_entry,call_writer_oi,call_wri_oi_prev,call_volume,call_ltp,call_iv,expiry_date,strike_price,put_writer_oi,put_wri_oi_prev,put_volume,put_ltp,put_iv,nifty_spot_price,pcr
203029,2025-04-23 23:50:04,116625,122475,6525,2402.00,0.00,2025-04-24,21900,702450,714075,10247400,1.10,76.66,24328.95,6.02320
203030,2025-04-23 23:50:04,35325,35475,375,2354.75,0.00,2025-04-24,21950,72450,96600,2472975,1.20,80.57,24328.95,2.05100
203031,2025-04-23 23:50:04,1630125,1802175,288075,2307.00,0.00,2025-04-24,22000,5182575,7051425,27038700,1.70,75.68,24328.95,3.17930
203032,2025-04-23 23:50:04,38850,38925,675,2255.25,0.00,2025-04-24,22050,140250,145800,2683350,1.85,72.27,24328.95,3.61000
203033,2025-04-23 23:50:04,466125,476475,11700,2203.00,0.00,2025-04-24,22100,748800,976875,6548175,1.75,72.75,24328.95,1.60640
203034,2025-04-23 23:50:04,16500,16875,1950,2167.15,89.60,2025-04-24,22150,93975,148425,2967900,1.55,70.31,24328.95,5.69550
203035,2025-04-23 23:50:04,171600,194625,27150,2106.25,0.00,2025-04-24,22200,1029150,1991850,13284975,1.55,68.36,24328.95,5.99740
203036,2025-04-23 23:50:04,19875,22950,4350,2059.75,70.07,2025-04-24,22250,214575,245325,4186200,1.10,64.45,24328.95,10.79620
203037,2025-04-23 23:50:04,111600,132225,27150,2005.60,0.00,2025-04-24,22300,1023300,1503150,13319775,1.40,64.94,24328.95,9.16940
203038,2025-04-23 23:50:04,41325,41625,3000,1960.60,69.82,2025-04-24,22350,160875,243750,3296925,1.30,62.99,24328.95,3.89290
203039,2025-04-23 23:50:04,539775,552000,53775,1908.10,56.64,2025-04-24,22400,1513875,2340825,9585300,2.40,63.48,24328.95,2.80460
203040,2025-04-23 23:50:04,89925,93600,6675,1858.20,55.66,2025-04-24,22450,298275,457275,5125125,1.70,61.52,24328.95,3.31690
203041,2025-04-23 23:50:04,1266225,1522350,417225,1806.00,0.00,2025-04-24,22500,6936300,7964400,31370775,1.90,60.55,24328.95,5.47790
203042,2025-04-23 23:50:04,49800,57300,8100,1753.40,0.00,2025-04-24,22550,250950,390075,5191725,1.80,59.08,24328.95,5.03920
203043,2025-04-23 23:50:04,452175,480375,62700,1707.00,0.00,2025-04-24,22600,1305825,1920225,14845800,2.00,58.11,24328.95,2.88790
203044,2025-04-23 23:50:04,36000,51000,17400,1659.45,56.64,2025-04-24,22650,324600,445800,6443775,2.15,56.88,24328.95,9.01670
203045,2025-04-23 23:50:04,470400,523800,112275,1601.80,0.00,2025-04-24,22700,1870425,3081000,17772975,2.20,55.18,24328.95,3.97620
203046,2025-04-23 23:50:04,35925,42225,19875,1558.10,46.88,2025-04-24,22750,443025,484275,9676575,2.40,54.20,24328.95,12.33190
203047,2025-04-23 23:50:04,285225,357150,144675,1505.80,0.00,2025-04-24,22800,2291025,3721425,25424700,2.50,53.47,24328.95,8.03230
203048,2025-04-23 23:50:04,59550,65775,14100,1462.65,57.37,2025-04-24,22850,500025,546900,9915750,2.80,52.25,24328.95,8.39670
203049,2025-04-23 23:50:04,413250,462450,81975,1400.35,0.00,2025-04-24,22900,2045700,2631150,26365650,2.65,50.78,24328.95,4.95030
203050,2025-04-23 23:50:04,54300,76125,31650,1359.15,46.14,2025-04-24,22950,540600,752550,11357625,2.95,49.56,24328.95,9.95580
203051,2025-04-23 23:50:04,1210950,1571550,635250,1307.95,38.57,2025-04-24,23000,8316600,11834250,68639925,3.00,48.46,24328.95,6.86780
203052,2025-04-23 23:50:04,105150,128775,41325,1258.25,39.06,2025-04-24,23050,765975,1358025,12834150,3.70,48.10,24328.95,7.28460
203053,2025-04-23 23:50:04,252825,348300,180600,1207.20,0.00,2025-04-24,23100,2678475,2997900,31061925,3.95,46.75,24328.95,10.59420
